year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,hemisphere
1978,,,,,,,,,,10.40266667,11.64513333,13.6670625,north
1979,15.414,16.17528571,16.3419375,15.4468,13.85686667,12.53,10.31125,8.041066667,7.051133333,8.7479375,10.94306667,13.33626667,north
1980,14.861875,15.95514286,16.0413125,15.42906667,13.7926,12.2046,10.1000625,7.984266667,7.667066667,9.18275,11.38286667,13.59293333,north
1981,14.9096875,15.60407143,15.63153333,15.00993333,13.801625,12.42973333,10.271,7.8443125,7.138466667,8.856266667,10.929,13.341125,north
1982,15.17673333,15.9735,16.043875,15.466,13.9732,12.47606667,10.3670625,8.139533333,7.301733333,9.4210625,11.62746667,13.6418,north
1983,14.9424375,16.00614286,16.08526667,15.17206667,13.4913125,12.29566667,10.57026667,8.185875,7.3946,9.334066667,11.461,13.2984375,north
1984,14.47326667,15.29893333,15.5842,15.01446667,13.5766875,12.15166667,9.977533333,7.7710625,6.8052,8.5606,10.84153333,12.9894375,north
1985,14.72486667,15.46571429,15.8859375,15.35653333,14.0734,12.21906667,9.7445625,7.401866667,6.697666667,8.5459375,11.02453333,13.04993333,north
1986,14.889625,15.78485714,15.90946667,15.0588,13.3795625,11.97593333,10.14646667,7.9795625,7.410666667,9.483933333,11.45326667,13.2224375,north
1987,14.9698,16.05014286,15.8159375,15.21086667,13.74293333,12.48566667,10.3325625,7.499904762,7.2787,9.048774194,11.22403333,12.5405,north
1988,15.09047368,15.58337931,15.95722581,15.12333333,13.56087097,11.94343333,9.808677419,7.891580645,7.369,9.135032258,11.33083333,13.62554839,north
1989,14.95480645,15.49553571,15.42329032,14.3284,13.04412903,12.24453333,10.12970968,7.881774194,7.008333333,8.828903226,11.11523333,13.38680645,north
1990,14.7826129,15.57821429,15.86674194,14.65006667,13.22583871,11.64056667,9.246612903,6.797483871,6.1428,8.484935484,11.0752,13.10554839,north
1991,14.36380645,15.24939286,15.41612903,14.85973333,13.47312903,12.10803333,9.514032258,7.415354839,6.4729,8.541419355,10.8846,12.94509677,north
1992,14.64267742,15.46210345,15.48112903,14.6769,13.21554839,12.14676667,10.32312903,7.925258065,7.4737,9.319516129,11.37866667,13.4073871,north
1993,14.89606452,15.68564286,15.81316129,15.0772,13.36822581,11.8709,9.476354839,7.335,6.396666667,8.786129032,11.31873333,13.31896774,north
1994,14.72977419,15.56189286,15.5536129,14.88803333,13.6243871,12.0164,9.92516129,7.639290323,7.1376,8.915290323,11.1232,13.27187097,north
