year,month,hemisphere,extent_average
1978,10,north,10.40266667
1978,10,south,17.699
1978,11,north,11.64513333
1978,11,south,15.8964
1978,12,north,13.6670625
1978,12,south,10.39525
1979,1,north,15.414
1979,1,south,5.4022
1979,2,north,16.17528571
1979,2,south,3.141071429
1979,3,north,16.3419375
1979,3,south,3.9993125
1979,4,north,15.4468
1979,4,south,7.485533333
1979,5,north,13.85686667
1979,5,south,10.82666667
1979,6,north,12.53
1979,6,south,14.187
1979,7,north,10.31125
1979,7,south,16.516875
1979,8,north,8.041066667
1979,8,south,17.69826667
1979,9,north,7.051133333
1979,9,south,18.19553333
1979,10,north,8.7479375
1979,10,south,17.8205
1979,11,north,10.94306667
1979,11,south,15.33706667
1979,12,north,13.33626667
1979,12,south,9.2358
1980,1,north,14.861875
1980,1,south,4.562
1980,2,north,15.95514286
1980,2,south,2.818357143
1980,3,north,16.0413125
1980,3,south,3.294875
1980,4,north,15.42906667
1980,4,south,5.405
1980,5,north,13.7926
1980,5,south,8.856666667
1980,6,north,12.2046
1980,6,south,12.49026667
1980,7,north,10.1000625
1980,7,south,15.5644375
1980,8,north,7.984266667
1980,8,south,17.8056
1980,9,north,7.667066667
1980,9,south,18.81726667
1980,10,north,9.18275
1980,10,south,18.567875
1980,11,north,11.38286667
1980,11,south,16.13313333
1980,12,north,13.59293333
1980,12,south,10.15586667
1981,1,north,14.9096875
1981,1,south,4.411875
1981,2,north,15.60407143
1981,2,south,2.8735
1981,3,north,15.63153333
1981,3,south,3.391533333
1981,4,north,15.00993333
1981,4,south,5.838466667
1981,5,north,13.801625
1981,5,south,9.354625
1981,6,north,12.42973333
1981,6,south,13.10853333
1981,7,north,10.271
1981,7,south,16.03873333
1981,8,north,7.8443125
1981,8,south,17.7365
1981,9,north,7.138466667
1981,9,south,18.59646667
1981,10,north,8.856266667
1981,10,south,18.29373333
1981,11,north,10.929
1981,11,south,16.11133333
1981,12,north,13.341125
1981,12,south,10.8948125
1982,1,north,15.17673333
1982,1,south,5.260066667
1982,2,north,15.9735
1982,2,south,3.1285
1982,3,north,16.043875
1982,3,south,4.2878125
1982,4,north,15.466
1982,4,south,7.722933333
1982,5,north,13.9732
1982,5,south,10.75833333
1982,6,north,12.47606667
1982,6,south,13.41673333
1982,7,north,10.3670625
1982,7,south,15.8721875
1982,8,north,8.139533333
1982,8,south,17.7892
1982,9,north,7.301733333
1982,9,south,18.35346667
1982,10,north,9.4210625
1982,10,south,17.788375
1982,11,north,11.62746667
1982,11,south,15.5366
1982,12,north,13.6418
1982,12,south,9.215666667
1983,1,north,14.9424375
1983,1,south,4.7705
1983,2,north,16.00614286
1983,2,south,3.070285714
1983,3,north,16.08526667
1983,3,south,4.015666667
1983,4,north,15.17206667
1983,4,south,6.4704
